CT20,landvalue_sqft,n_parcel,avgprice_tract
188201,437.39474160155976,4,109.34868540038994
195100,4434.585511747102,26,170.56098122104237
195400,4095.3600868302515,25,163.81440347321006
195500,989.3212947865077,4,247.33032369662692
195600,420.24124843547736,2,210.12062421773868
195710,1025.0131505135473,8,128.12664381419341
195802,927.5662071306733,7,132.50945816152475
195803,2338.216701841117,11,212.56515471282881
195804,1131.1254606075038,9,125.68060673416709
195901,4114.927664393478,14,293.92340459953414
195902,2430.100740844893,12,202.50839507040777
195903,2249.6584630980183,15,149.97723087320122
208401,1361.5282245104709,7,194.50403207292442
208402,311.4892613955045,1,311.4892613955045
208501,644.0606232138825,5,128.8121246427765
208502,648.1934653062009,5,129.6386930612402
208610,1054.0433318852392,10,105.40433318852392
208620,732.3253910594347,8,91.54067388242933
208710,127.09521615106354,13,9.776555088543349
208720,316.9959125433912,2,158.4979562716956
208801,1087.0591901827192,2,543.5295950913596
208802,618.3534077755561,3,206.11780259185204
208902,429.36766157036266,1,429.36766157036266
208903,553.6548723260788,2,276.8274361630394
208904,132.9811307941878,1,132.9811307941878
209300,944.9912842223425,5,188.9982568444685
209401,1004.0457793231142,4,251.01144483077854
209402,221.6875910951978,4,55.42189777379945
209510,499.44042014791506,7,71.34863144970215
209520,230.19491586148246,2,115.09745793074123
209810,302.92439364070367,2,151.46219682035183
209820,853.1532353953579,6,142.1922058992263
210010,1591.1119529756472,14,113.6508537839748
211121,256.17691970977705,2,128.08845985488853
211122,120.18342055634591,1,120.18342055634591
211123,665.725489098216,2,332.862744549108
211124,836.5167725801707,13,64.34744404462852
211201,950.6262642680763,5,190.12525285361525
211202,788.4179604928099,4,197.10449012320248
211310,1836.608623189034,10,183.6608623189034
211320,1930.303854689693,11,175.4821686081539
211410,258.9073287821851,3,86.30244292739503
211420,293.62827900208526,3,97.87609300069509
211500,618.9829353508107,7,88.4261336215444
211703,656.3764174254748,19,34.54612723291972
211704,565.8025733263153,12,47.1502144438596
211802,744.4260728918011,20,37.22130364459006
211803,241.92768508978173,5,48.385537017956345
211804,875.2090906361497,5,175.04181812722993
211910,24.841344005381806,2,12.420672002690903
211922,375.1289728617594,1,375.1289728617594
212101,82.14658033145646,10,8.214658033145646
212102,917.4181758617917,2,458.70908793089586
212202,2204.4374177490317,14,157.45981555350227
212204,2824.708174479261,6,470.7846957465435
212303,352.25044781037747,1,352.25044781037747
212304,947.6483321631639,2,473.82416608158195
212305,877.4888182534572,2,438.7444091267286
212306,564.6692291066643,6,94.11153818444404
212410,200.03956431127264,7,28.57708061589609
212420,825.5100378691377,10,82.55100378691377
212501,26.297311191240805,1,26.297311191240805
212502,441.148892121672,7,63.021270303096
212610,637.9041651666994,17,37.52377442157055
212620,647.4808527625381,6,107.91347546042302
212701,866.5058927518895,7,123.78655610741279
212702,226.82200006002086,4,56.705500015005214
213100,536.2807111434095,6,89.38011852390157
213201,1888.234197758055,7,269.747742536865
213310,2437.27060370893,16,152.32941273180813
213320,712.3960631865642,5,142.47921263731286
213401,600.5915664987432,8,75.0739458123429
213402,977.9077860430243,11,88.90070782209312
221110,1045.3722808744158,7,149.3388972677737
221120,1005.9908948180953,10,100.59908948180953
221220,1159.5688420816628,9,128.84098245351808
221602,474.4363397400526,4,118.60908493501314
224010,2316.1988734211527,4,579.0497183552882
224200,214.98540864646765,2,107.49270432323382
224310,446.9802584981866,4,111.74506462454664
224320,103.2089824067088,1,103.2089824067088
224410,116.96275543391607,1,116.96275543391607
