"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"3.96","0.39","4.04","0.40","3.81","0.89","1400000US06037106520","Census Tract 1065.20, Los Angeles County, California"
"3.04","0.21","2.91","0.22","4.51","0.64","1400000US06037106603","Census Tract 1066.03, Los Angeles County, California"
"3.71","0.51","4.25","0.95","3.26","0.45","1400000US06037106604","Census Tract 1066.04, Los Angeles County, California"
"2.95","0.23","3.04","0.22","2.22","0.97","1400000US06037106641","Census Tract 1066.41, Los Angeles County, California"
"2.82","0.34","2.85","0.35","2.36","1.03","1400000US06037106642","Census Tract 1066.42, Los Angeles County, California"
"3.27","0.48","3.30","0.54","3.00","0.81","1400000US06037106643","Census Tract 1066.43, Los Angeles County, California"
"3.22","0.52","3.33","0.53","2.35","1.66","1400000US06037106645","Census Tract 1066.45, Los Angeles County, California"
"2.98","0.22","3.03","0.24","2.57","0.39","1400000US06037106646","Census Tract 1066.46, Los Angeles County, California"
"4.22","0.37","4.25","0.50","4.19","0.65","1400000US06037106648","Census Tract 1066.48, Los Angeles County, California"
"4.38","0.83","4.48","1.06","4.01","0.86","1400000US06037106649","Census Tract 1066.49, Los Angeles County, California"
"4.12","0.41","4.21","0.43","3.89","0.80","1400000US06037107010","Census Tract 1070.10, Los Angeles County, California"
"4.67","0.58","4.44","0.53","5.21","1.39","1400000US06037107020","Census Tract 1070.20, Los Angeles County, California"
"2.97","0.20","2.99","0.23","2.87","0.79","1400000US06037108101","Census Tract 1081.01, Los Angeles County, California"
"2.89","0.20","2.92","0.22","2.66","0.70","1400000US06037108102","Census Tract 1081.02, Los Angeles County, California"
"3.08","0.32","3.13","0.33","2.45","1.21","1400000US06037108103","Census Tract 1081.03, Los Angeles County, California"
"3.16","0.51","3.09","0.56","3.62","0.90","1400000US06037108104","Census Tract 1081.04, Los Angeles County, California"
"2.84","0.32","3.16","0.27","2.22","0.95","1400000US06037108202","Census Tract 1082.02, Los Angeles County, California"
"2.90","0.16","2.95","0.21","2.74","0.50","1400000US06037108203","Census Tract 1082.03, Los Angeles County, California"
"3.01","0.31","3.17","0.30","1.61","0.68","1400000US06037108204","Census Tract 1082.04, Los Angeles County, California"
"2.82","0.31","2.89","0.33","2.68","0.76","1400000US06037109100","Census Tract 1091, Los Angeles County, California"
"2.73","0.32","2.79","0.41","2.42","0.49","1400000US06037109200","Census Tract 1092, Los Angeles County, California"
"3.00","0.30","2.89","0.33","3.66","0.47","1400000US06037109300","Census Tract 1093, Los Angeles County, California"
"3.51","0.39","3.21","0.43","4.05","1.27","1400000US06037109400","Census Tract 1094, Los Angeles County, California"
