"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"3.18","0.39","3.96","0.82","3.01","0.46","1400000US06037199900","Census Tract 1999, Los Angeles County, California"
"2.80","0.29","3.06","0.44","2.34","0.40","1400000US06037201110","Census Tract 2011.10, Los Angeles County, California"
"3.28","0.25","3.02","0.40","3.46","0.41","1400000US06037201120","Census Tract 2011.20, Los Angeles County, California"
"3.49","0.46","3.66","0.82","3.27","0.47","1400000US06037201200","Census Tract 2012, Los Angeles County, California"
"3.84","0.32","3.89","0.54","3.80","0.55","1400000US06037201301","Census Tract 2013.01, Los Angeles County, California"
"2.23","0.21","2.26","0.24","2.19","0.29","1400000US06037201302","Census Tract 2013.02, Los Angeles County, California"
"3.59","0.42","3.27","0.54","3.82","0.60","1400000US06037201401","Census Tract 2014.01, Los Angeles County, California"
"3.16","0.30","3.25","0.38","2.93","0.57","1400000US06037201402","Census Tract 2014.02, Los Angeles County, California"
"3.60","0.25","3.57","0.46","3.64","0.44","1400000US06037201501","Census Tract 2015.01, Los Angeles County, California"
"3.25","0.28","4.07","0.45","2.89","0.34","1400000US06037201503","Census Tract 2015.03, Los Angeles County, California"
"3.36","0.27","3.64","0.42","3.00","0.35","1400000US06037201504","Census Tract 2015.04, Los Angeles County, California"
"3.22","0.50","2.88","0.60","3.72","0.81","1400000US06037201601","Census Tract 2016.01, Los Angeles County, California"
"3.67","0.61","3.53","0.47","3.83","1.15","1400000US06037201602","Census Tract 2016.02, Los Angeles County, California"
"2.77","0.27","2.95","0.37","2.46","0.38","1400000US06037201700","Census Tract 2017, Los Angeles County, California"
"3.69","0.44","5.48","1.63","3.42","0.38","1400000US06037203100","Census Tract 2031, Los Angeles County, California"
"4.18","0.45","3.44","0.57","4.49","0.58","1400000US06037203200","Census Tract 2032, Los Angeles County, California"
"2.97","0.42","4.64","0.76","2.67","0.48","1400000US06037203300","Census Tract 2033, Los Angeles County, California"
"3.18","0.32","2.64","0.46","3.41","0.41","1400000US06037203500","Census Tract 2035, Los Angeles County, California"
"3.58","0.41","4.86","1.53","3.30","0.36","1400000US06037203601","Census Tract 2036.01, Los Angeles County, California"
"3.37","0.52","2.69","0.66","3.69","0.65","1400000US06037203602","Census Tract 2036.02, Los Angeles County, California"
"4.44","0.50","4.18","0.77","4.55","0.63","1400000US06037203710","Census Tract 2037.10, Los Angeles County, California"
"4.06","0.37","4.16","0.70","4.03","0.48","1400000US06037203720","Census Tract 2037.20, Los Angeles County, California"
"3.79","0.40","4.39","0.59","3.38","0.56","1400000US06037203800","Census Tract 2038, Los Angeles County, California"
"4.45","0.57","4.85","0.90","4.24","0.75","1400000US06037203900","Census Tract 2039, Los Angeles County, California"
"4.11","0.56","5.13","0.69","3.48","0.79","1400000US06037204110","Census Tract 2041.10, Los Angeles County, California"
"3.80","0.53","3.97","0.72","3.73","0.69","1400000US06037204120","Census Tract 2041.20, Los Angeles County, California"
"3.66","0.46","4.00","1.32","3.57","0.46","1400000US06037204200","Census Tract 2042, Los Angeles County, California"
"4.14","0.49","3.87","0.69","4.25","0.67","1400000US06037204300","Census Tract 2043, Los Angeles County, California"
"4.18","0.51","4.72","1.83","4.09","0.57","1400000US06037204410","Census Tract 2044.10, Los Angeles County, California"
"3.23","0.29","2.65","1.02","3.28","0.31","1400000US06037204420","Census Tract 2044.20, Los Angeles County, California"
"3.72","0.44","5.20","1.24","3.33","0.55","1400000US06037204600","Census Tract 2046, Los Angeles County, California"
"4.57","0.52","4.55","0.78","4.59","0.75","1400000US06037204700","Census Tract 2047, Los Angeles County, California"
"3.78","0.37","4.04","0.57","3.65","0.48","1400000US06037204810","Census Tract 2048.10, Los Angeles County, California"
"4.13","0.39","3.56","0.53","4.52","0.61","1400000US06037204820","Census Tract 2048.20, Los Angeles County, California"
"3.59","0.33","4.54","0.64","3.33","0.38","1400000US06037204910","Census Tract 2049.10, Los Angeles County, California"
"4.19","0.43","4.68","0.66","3.91","0.61","1400000US06037204920","Census Tract 2049.20, Los Angeles County, California"
"4.44","0.35","-","**","4.44","0.35","1400000US06037205110","Census Tract 2051.10, Los Angeles County, California"
"4.22","0.54","4.00","1.06","4.25","0.62","1400000US06037205120","Census Tract 2051.20, Los Angeles County, California"
"2.78","0.39","5.85","2.02","2.54","0.38","1400000US06037206010","Census Tract 2060.10, Los Angeles County, California"
"1.99","0.23","-","**","1.99","0.23","1400000US06037206020","Census Tract 2060.20, Los Angeles County, California"
"2.61","0.46","1.59","0.43","2.66","0.47","1400000US06037206050","Census Tract 2060.50, Los Angeles County, California"
"1.55","0.14","1.39","0.23","1.66","0.20","1400000US06037206051","Census Tract 2060.51, Los Angeles County, California"
"1.73","0.19","1.94","0.69","1.70","0.18","1400000US06037206052","Census Tract 2060.52, Los Angeles County, California"
"2.45","0.35","3.55","0.80","2.28","0.41","1400000US06037206053","Census Tract 2060.53, Los Angeles County, California"
"4.13","0.47","3.07","0.60","4.24","0.52","1400000US06037206054","Census Tract 2060.54, Los Angeles County, California"
"1.47","0.17","1.25","0.32","1.48","0.17","1400000US06037206201","Census Tract 2062.01, Los Angeles County, California"
"1.37","0.13","1.36","0.29","1.37","0.15","1400000US06037206202","Census Tract 2062.02, Los Angeles County, California"
"1.05","0.09","-","**","1.05","0.09","1400000US06037206301","Census Tract 2063.01, Los Angeles County, California"
"-","**","-","**","-","**","1400000US06037206302","Census Tract 2063.02, Los Angeles County, California"
"1.13","0.14","-","**","1.13","0.14","1400000US06037206303","Census Tract 2063.03, Los Angeles County, California"
"2.24","0.21","1.57","0.91","2.26","0.21","1400000US06037207101","Census Tract 2071.01, Los Angeles County, California"
"2.29","0.22","2.47","0.96","2.29","0.23","1400000US06037207102","Census Tract 2071.02, Los Angeles County, California"
"2.31","0.23","1.30","0.39","2.35","0.24","1400000US06037207103","Census Tract 2071.03, Los Angeles County, California"
"1.36","0.16","1.58","0.63","1.35","0.16","1400000US06037207303","Census Tract 2073.03, Los Angeles County, California"
"1.19","0.08","-","**","1.19","0.08","1400000US06037207304","Census Tract 2073.04, Los Angeles County, California"
"1.50","0.28","-","**","1.52","0.29","1400000US06037207305","Census Tract 2073.05, Los Angeles County, California"
"1.28","0.12","1.57","0.33","1.25","0.13","1400000US06037207306","Census Tract 2073.06, Los Angeles County, California"
"1.25","0.13","-","**","1.25","0.13","1400000US06037207307","Census Tract 2073.07, Los Angeles County, California"
"1.59","0.22","-","**","1.59","0.22","1400000US06037207308","Census Tract 2073.08, Los Angeles County, California"
"1.94","0.24","-","**","1.94","0.24","1400000US06037207400","Census Tract 2074, Los Angeles County, California"
"1.62","0.14","1.45","0.35","1.65","0.15","1400000US06037207501","Census Tract 2075.01, Los Angeles County, California"
"1.34","0.08","-","**","1.34","0.08","1400000US06037207502","Census Tract 2075.02, Los Angeles County, California"
"1.35","0.11","1.71","0.41","1.27","0.11","1400000US06037207711","Census Tract 2077.11, Los Angeles County, California"
"1.37","0.11","1.24","0.31","1.39","0.12","1400000US06037207712","Census Tract 2077.12, Los Angeles County, California"
"1.71","0.23","2.08","0.58","1.67","0.25","1400000US06037207901","Census Tract 2079.01, Los Angeles County, California"
"1.59","0.11","1.69","0.42","1.57","0.12","1400000US06037207902","Census Tract 2079.02, Los Angeles County, California"
"2.09","0.30","-","**","2.12","0.30","1400000US06037208001","Census Tract 2080.01, Los Angeles County, California"
"3.72","0.66","4.38","3.20","3.65","0.63","1400000US06037208002","Census Tract 2080.02, Los Angeles County, California"
"3.63","0.34","3.03","0.23","3.67","0.36","1400000US06037208301","Census Tract 2083.01, Los Angeles County, California"
"2.75","0.37","2.14","1.00","2.85","0.39","1400000US06037208302","Census Tract 2083.02, Los Angeles County, California"
"3.03","0.30","2.08","0.19","3.06","0.31","1400000US06037208401","Census Tract 2084.01, Los Angeles County, California"
"3.56","0.43","5.28","1.15","3.16","0.47","1400000US06037208402","Census Tract 2084.02, Los Angeles County, California"
"2.77","0.23","2.60","0.62","2.78","0.25","1400000US06037208501","Census Tract 2085.01, Los Angeles County, California"
"2.89","0.38","-","**","2.91","0.39","1400000US06037208502","Census Tract 2085.02, Los Angeles County, California"
"2.77","0.25","3.42","1.13","2.72","0.25","1400000US06037208610","Census Tract 2086.10, Los Angeles County, California"
"2.61","0.25","3.37","1.10","2.52","0.30","1400000US06037208620","Census Tract 2086.20, Los Angeles County, California"
"2.43","0.25","2.17","0.47","2.47","0.28","1400000US06037208710","Census Tract 2087.10, Los Angeles County, California"
"2.43","0.22","1.29","0.45","2.44","0.23","1400000US06037208720","Census Tract 2087.20, Los Angeles County, California"
"2.40","0.33","1.84","0.22","2.41","0.34","1400000US06037208801","Census Tract 2088.01, Los Angeles County, California"
"2.06","0.26","1.69","0.68","2.06","0.25","1400000US06037208802","Census Tract 2088.02, Los Angeles County, California"
"3.79","0.36","-","**","3.79","0.36","1400000US06037208902","Census Tract 2089.02, Los Angeles County, California"
"3.50","0.57","2.00","0.34","3.52","0.56","1400000US06037208903","Census Tract 2089.03, Los Angeles County, California"
"2.94","0.38","-","**","2.96","0.38","1400000US06037208904","Census Tract 2089.04, Los Angeles County, California"
"3.25","0.35","2.25","0.76","3.26","0.35","1400000US06037209103","Census Tract 2091.03, Los Angeles County, California"
"2.47","0.21","-","**","2.47","0.21","1400000US06037209104","Census Tract 2091.04, Los Angeles County, California"
"3.50","0.69","-","**","3.50","0.69","1400000US06037209105","Census Tract 2091.05, Los Angeles County, California"
"1.98","0.27","1.15","0.27","2.06","0.30","1400000US06037209106","Census Tract 2091.06, Los Angeles County, California"
"1.72","0.15","1.46","0.24","1.75","0.17","1400000US06037209201","Census Tract 2092.01, Los Angeles County, California"
"2.82","0.47","-","**","2.82","0.47","1400000US06037209202","Census Tract 2092.02, Los Angeles County, California"
"2.35","0.21","2.30","0.33","2.35","0.22","1400000US06037209300","Census Tract 2093, Los Angeles County, California"
"2.42","0.24","2.00","0.45","2.42","0.24","1400000US06037209401","Census Tract 2094.01, Los Angeles County, California"
"3.30","0.30","3.08","1.99","3.30","0.30","1400000US06037209402","Census Tract 2094.02, Los Angeles County, California"
"3.01","0.55","22.68","2.87","2.75","0.38","1400000US06037209403","Census Tract 2094.03, Los Angeles County, California"
"3.00","0.31","1.88","0.62","3.01","0.31","1400000US06037209510","Census Tract 2095.10, Los Angeles County, California"
"3.03","0.27","4.33","1.38","3.02","0.27","1400000US06037209520","Census Tract 2095.20, Los Angeles County, California"
"2.86","0.20","2.20","0.35","2.87","0.21","1400000US06037209810","Census Tract 2098.10, Los Angeles County, California"
"3.61","0.34","4.53","0.82","3.43","0.40","1400000US06037209820","Census Tract 2098.20, Los Angeles County, California"
"2.72","0.39","2.77","1.12","2.72","0.44","1400000US06037210010","Census Tract 2100.10, Los Angeles County, California"
"2.59","0.27","2.75","0.30","2.35","0.54","1400000US06037211000","Census Tract 2110, Los Angeles County, California"
"2.57","0.29","2.14","0.66","2.60","0.31","1400000US06037211121","Census Tract 2111.21, Los Angeles County, California"
"2.56","0.27","3.75","2.30","2.56","0.28","1400000US06037211122","Census Tract 2111.22, Los Angeles County, California"
"1.89","0.20","-","**","1.89","0.20","1400000US06037211123","Census Tract 2111.23, Los Angeles County, California"
"2.30","0.22","2.52","0.85","2.29","0.23","1400000US06037211124","Census Tract 2111.24, Los Angeles County, California"
"2.69","0.35","3.25","0.65","2.65","0.37","1400000US06037211201","Census Tract 2112.01, Los Angeles County, California"
"2.45","0.28","5.82","3.40","2.39","0.26","1400000US06037211202","Census Tract 2112.02, Los Angeles County, California"
"2.80","0.32","4.44","1.21","2.74","0.31","1400000US06037211310","Census Tract 2113.10, Los Angeles County, California"
"2.64","0.33","-","**","2.65","0.33","1400000US06037211320","Census Tract 2113.20, Los Angeles County, California"
"2.72","0.26","4.37","1.22","2.61","0.26","1400000US06037211410","Census Tract 2114.10, Los Angeles County, California"
"2.55","0.31","3.02","0.92","2.47","0.32","1400000US06037211420","Census Tract 2114.20, Los Angeles County, California"
"2.38","0.28","2.98","0.37","2.07","0.30","1400000US06037211500","Census Tract 2115, Los Angeles County, California"
"2.22","0.33","2.10","0.82","2.29","0.29","1400000US06037211701","Census Tract 2117.01, Los Angeles County, California"
"2.14","0.18","2.39","0.65","2.11","0.19","1400000US06037211703","Census Tract 2117.03, Los Angeles County, California"
"1.71","0.13","1.77","0.24","1.70","0.14","1400000US06037211704","Census Tract 2117.04, Los Angeles County, California"
"2.04","0.23","1.39","0.25","2.09","0.23","1400000US06037211802","Census Tract 2118.02, Los Angeles County, California"
"2.54","0.24","2.76","0.76","2.52","0.25","1400000US06037211803","Census Tract 2118.03, Los Angeles County, California"
"2.33","0.25","4.15","3.03","2.27","0.25","1400000US06037211804","Census Tract 2118.04, Los Angeles County, California"
"2.20","0.25","2.36","0.96","2.20","0.26","1400000US06037211910","Census Tract 2119.10, Los Angeles County, California"
"2.54","0.32","-","**","2.56","0.33","1400000US06037211921","Census Tract 2119.21, Los Angeles County, California"
"2.76","0.55","1.40","0.56","2.78","0.55","1400000US06037211922","Census Tract 2119.22, Los Angeles County, California"
"1.87","0.21","2.31","0.43","1.83","0.24","1400000US06037212101","Census Tract 2121.01, Los Angeles County, California"
"2.16","0.27","-","**","2.17","0.27","1400000US06037212102","Census Tract 2121.02, Los Angeles County, California"
"2.64","0.31","2.81","1.85","2.64","0.32","1400000US06037212202","Census Tract 2122.02, Los Angeles County, California"
"1.77","0.16","-","**","1.77","0.16","1400000US06037212203","Census Tract 2122.03, Los Angeles County, California"
"2.47","0.23","6.62","2.09","2.40","0.21","1400000US06037212204","Census Tract 2122.04, Los Angeles County, California"
"2.53","0.39","4.38","1.21","2.52","0.40","1400000US06037212303","Census Tract 2123.03, Los Angeles County, California"
"2.29","0.23","-","**","2.29","0.23","1400000US06037212304","Census Tract 2123.04, Los Angeles County, California"
"3.06","0.32","4.17","0.78","3.04","0.33","1400000US06037212305","Census Tract 2123.05, Los Angeles County, California"
"2.87","0.42","2.44","0.57","2.88","0.44","1400000US06037212306","Census Tract 2123.06, Los Angeles County, California"
"2.70","0.52","3.14","1.04","2.70","0.52","1400000US06037212410","Census Tract 2124.10, Los Angeles County, California"
"2.66","0.26","2.61","0.92","2.67","0.28","1400000US06037212420","Census Tract 2124.20, Los Angeles County, California"
"2.08","0.20","2.52","0.48","2.06","0.21","1400000US06037212501","Census Tract 2125.01, Los Angeles County, California"
"2.03","0.24","2.30","0.78","2.01","0.26","1400000US06037212502","Census Tract 2125.02, Los Angeles County, California"
"2.62","0.24","2.93","0.45","2.53","0.28","1400000US06037212610","Census Tract 2126.10, Los Angeles County, California"
"2.28","0.20","2.95","1.01","2.24","0.20","1400000US06037212620","Census Tract 2126.20, Los Angeles County, California"
"2.69","0.24","3.02","0.47","2.50","0.32","1400000US06037212701","Census Tract 2127.01, Los Angeles County, California"
"2.41","0.17","2.70","0.30","2.13","0.26","1400000US06037212702","Census Tract 2127.02, Los Angeles County, California"
"2.30","0.18","2.63","0.31","2.05","0.24","1400000US06037212800","Census Tract 2128, Los Angeles County, California"
"2.75","0.24","3.18","1.37","2.69","0.27","1400000US06037212900","Census Tract 2129, Los Angeles County, California"
"2.88","0.28","3.37","0.47","2.70","0.30","1400000US06037213100","Census Tract 2131, Los Angeles County, California"
"2.62","0.26","2.08","0.65","2.66","0.28","1400000US06037213201","Census Tract 2132.01, Los Angeles County, California"
"2.89","0.29","2.69","0.67","2.93","0.32","1400000US06037213202","Census Tract 2132.02, Los Angeles County, California"
"2.64","0.38","3.15","0.62","2.54","0.40","1400000US06037213310","Census Tract 2133.10, Los Angeles County, California"
"2.56","0.41","2.50","1.01","2.56","0.43","1400000US06037213320","Census Tract 2133.20, Los Angeles County, California"
"2.90","0.28","2.50","0.70","2.90","0.28","1400000US06037213401","Census Tract 2134.01, Los Angeles County, California"
"2.87","0.21","3.32","0.73","2.83","0.23","1400000US06037213402","Census Tract 2134.02, Los Angeles County, California"
"2.93","0.29","3.20","0.35","2.50","0.51","1400000US06037214000","Census Tract 2140, Los Angeles County, California"
"2.10","0.20","2.30","0.27","1.96","0.26","1400000US06037214100","Census Tract 2141, Los Angeles County, California"
"1.70","0.12","1.45","0.40","1.71","0.12","1400000US06037214400","Census Tract 2144, Los Angeles County, California"
"2.27","0.42","2.75","1.11","2.25","0.43","1400000US06037214501","Census Tract 2145.01, Los Angeles County, California"
"2.35","0.17","2.41","0.70","2.35","0.17","1400000US06037214503","Census Tract 2145.03, Los Angeles County, California"
"2.44","0.28","1.92","0.63","2.46","0.29","1400000US06037214504","Census Tract 2145.04, Los Angeles County, California"
"1.66","0.26","-","**","1.66","0.26","1400000US06037214505","Census Tract 2145.05, Los Angeles County, California"
"1.81","0.15","2.08","0.33","1.73","0.16","1400000US06037214600","Census Tract 2146, Los Angeles County, California"
"2.09","0.23","2.33","0.46","1.91","0.24","1400000US06037214700","Census Tract 2147, Los Angeles County, California"
"1.87","0.15","2.02","0.35","1.82","0.17","1400000US06037214800","Census Tract 2148, Los Angeles County, California"
"1.62","0.18","1.41","0.35","1.70","0.16","1400000US06037214902","Census Tract 2149.02, Los Angeles County, California"
"1.35","0.17","1.59","0.37","1.31","0.18","1400000US06037214903","Census Tract 2149.03, Los Angeles County, California"
"1.73","0.17","1.50","0.32","1.78","0.20","1400000US06037214904","Census Tract 2149.04, Los Angeles County, California"
"1.69","0.15","1.61","0.47","1.69","0.16","1400000US06037215101","Census Tract 2151.01, Los Angeles County, California"
"1.58","0.17","-","**","1.59","0.17","1400000US06037215102","Census Tract 2151.02, Los Angeles County, California"
"2.16","0.21","2.45","0.29","1.72","0.28","1400000US06037216100","Census Tract 2161, Los Angeles County, California"
"1.78","0.18","2.23","0.54","1.60","0.18","1400000US06037216201","Census Tract 2162.01, Los Angeles County, California"
"1.93","0.25","2.24","0.39","1.81","0.33","1400000US06037216202","Census Tract 2162.02, Los Angeles County, California"
"2.57","0.40","2.73","0.49","1.99","0.52","1400000US06037216301","Census Tract 2163.01, Los Angeles County, California"
"1.87","0.13","2.35","0.34","1.75","0.16","1400000US06037216302","Census Tract 2163.02, Los Angeles County, California"
"2.03","0.22","2.74","1.49","1.97","0.17","1400000US06037216401","Census Tract 2164.01, Los Angeles County, California"
"2.12","0.35","2.07","0.68","2.13","0.36","1400000US06037216402","Census Tract 2164.02, Los Angeles County, California"
"2.17","0.19","2.63","0.33","1.90","0.19","1400000US06037216700","Census Tract 2167, Los Angeles County, California"
"2.23","0.19","2.36","0.31","2.17","0.24","1400000US06037216800","Census Tract 2168, Los Angeles County, California"
"2.02","0.20","2.34","0.31","1.56","0.28","1400000US06037216901","Census Tract 2169.01, Los Angeles County, California"
"1.82","0.25","2.22","0.46","1.71","0.35","1400000US06037216902","Census Tract 2169.02, Los Angeles County, California"
"2.97","0.27","3.65","0.41","2.45","0.33","1400000US06037217001","Census Tract 2170.01, Los Angeles County, California"
"2.35","0.26","2.28","0.40","2.37","0.35","1400000US06037217002","Census Tract 2170.02, Los Angeles County, California"
"3.26","0.62","4.67","1.83","2.92","0.91","1400000US06037217101","Census Tract 2171.01, Los Angeles County, California"
"2.08","0.40","2.67","0.94","1.85","0.41","1400000US06037217102","Census Tract 2171.02, Los Angeles County, California"
"2.36","0.20","2.30","0.43","2.37","0.26","1400000US06037217200","Census Tract 2172, Los Angeles County, California"
"2.80","0.37","2.69","0.50","2.84","0.46","1400000US06037218110","Census Tract 2181.10, Los Angeles County, California"
"3.03","0.39","3.60","0.60","2.83","0.47","1400000US06037218120","Census Tract 2181.20, Los Angeles County, California"
"2.86","0.39","3.16","0.69","2.79","0.47","1400000US06037218210","Census Tract 2182.10, Los Angeles County, California"
"2.67","0.25","2.77","0.43","2.62","0.33","1400000US06037218220","Census Tract 2182.20, Los Angeles County, California"
"2.29","0.23","2.99","0.64","2.09","0.26","1400000US06037218300","Census Tract 2183, Los Angeles County, California"
"3.29","0.33","3.76","0.81","3.10","0.33","1400000US06037218400","Census Tract 2184, Los Angeles County, California"
"2.76","0.38","4.14","1.27","2.24","0.23","1400000US06037218500","Census Tract 2185, Los Angeles County, California"
"2.57","0.39","3.24","1.01","2.28","0.33","1400000US06037218600","Census Tract 2186, Los Angeles County, California"
"2.48","0.29","2.50","0.53","2.47","0.37","1400000US06037218701","Census Tract 2187.01, Los Angeles County, California"
"2.53","0.37","2.73","0.67","2.48","0.42","1400000US06037218702","Census Tract 2187.02, Los Angeles County, California"
"2.65","0.28","3.33","0.63","2.47","0.28","1400000US06037218800","Census Tract 2188, Los Angeles County, California"
"2.54","0.22","2.50","0.67","2.55","0.24","1400000US06037218900","Census Tract 2189, Los Angeles County, California"
"3.17","0.37","3.51","0.79","2.84","0.30","1400000US06037219010","Census Tract 2190.10, Los Angeles County, California"
"3.83","0.36","3.90","0.50","3.77","0.54","1400000US06037219020","Census Tract 2190.20, Los Angeles County, California"
"2.65","0.35","2.48","0.48","2.70","0.44","1400000US06037219300","Census Tract 2193, Los Angeles County, California"
"2.52","0.27","2.69","0.29","2.03","0.68","1400000US06037219500","Census Tract 2195, Los Angeles County, California"
"3.53","0.40","3.94","0.60","3.09","0.73","1400000US06037219700","Census Tract 2197, Los Angeles County, California"
"2.98","0.35","2.96","0.40","2.98","0.48","1400000US06037219800","Census Tract 2198, Los Angeles County, California"
"3.11","0.35","3.63","0.57","2.95","0.42","1400000US06037219901","Census Tract 2199.01, Los Angeles County, California"
"2.96","0.24","3.39","0.34","2.51","0.37","1400000US06037219902","Census Tract 2199.02, Los Angeles County, California"
"2.26","0.29","2.83","0.66","2.07","0.31","1400000US06037220000","Census Tract 2200, Los Angeles County, California"
"2.26","0.30","2.18","0.47","2.34","0.44","1400000US06037220100","Census Tract 2201, Los Angeles County, California"
"3.30","0.41","2.16","1.27","3.47","0.41","1400000US06037221110","Census Tract 2211.10, Los Angeles County, California"
"3.90","0.37","4.06","1.04","3.89","0.39","1400000US06037221120","Census Tract 2211.20, Los Angeles County, California"
"3.78","0.33","4.28","0.56","3.58","0.42","1400000US06037221210","Census Tract 2212.10, Los Angeles County, California"
"3.30","0.30","3.64","0.58","3.23","0.34","1400000US06037221220","Census Tract 2212.20, Los Angeles County, California"
"3.23","0.35","4.10","0.90","3.11","0.37","1400000US06037221302","Census Tract 2213.02, Los Angeles County, California"
"3.51","0.35","3.44","0.64","3.51","0.38","1400000US06037221303","Census Tract 2213.03, Los Angeles County, California"
"3.26","0.46","2.18","0.54","3.33","0.49","1400000US06037221304","Census Tract 2213.04, Los Angeles County, California"
"2.62","0.24","3.30","0.75","2.50","0.31","1400000US06037221401","Census Tract 2214.01, Los Angeles County, California"
"3.13","0.31","4.63","0.82","2.65","0.36","1400000US06037221402","Census Tract 2214.02, Los Angeles County, California"
"3.34","0.40","4.63","0.80","3.02","0.42","1400000US06037221500","Census Tract 2215, Los Angeles County, California"
"3.25","0.27","4.29","0.90","3.03","0.30","1400000US06037221601","Census Tract 2216.01, Los Angeles County, California"
"2.94","0.25","3.56","0.93","2.86","0.25","1400000US06037221602","Census Tract 2216.02, Los Angeles County, California"
"2.98","0.30","3.76","0.97","2.83","0.32","1400000US06037221710","Census Tract 2217.10, Los Angeles County, California"
"3.00","0.31","4.82","0.95","2.81","0.32","1400000US06037221810","Census Tract 2218.10, Los Angeles County, California"
"2.27","0.31","3.72","1.11","2.16","0.31","1400000US06037221820","Census Tract 2218.20, Los Angeles County, California"
"2.95","0.44","2.45","1.45","2.98","0.48","1400000US06037221900","Census Tract 2219, Los Angeles County, California"
"3.09","0.30","3.23","0.38","2.95","0.48","1400000US06037222001","Census Tract 2220.01, Los Angeles County, California"
"3.59","0.49","3.45","0.73","3.68","0.63","1400000US06037222002","Census Tract 2220.02, Los Angeles County, California"
"3.82","0.34","3.76","0.65","3.85","0.46","1400000US06037222100","Census Tract 2221, Los Angeles County, California"
"3.25","0.35","3.44","0.93","3.19","0.40","1400000US06037222200","Census Tract 2222, Los Angeles County, California"
"4.22","0.50","4.31","0.66","4.16","0.72","1400000US06037222500","Census Tract 2225, Los Angeles County, California"
"3.32","0.31","3.95","0.61","3.19","0.35","1400000US06037222600","Census Tract 2226, Los Angeles County, California"
"2.59","0.65","-","**","2.59","0.65","1400000US06037222700","Census Tract 2227, Los Angeles County, California"
"1.85","0.18","-","**","1.85","0.18","1400000US06037224010","Census Tract 2240.10, Los Angeles County, California"
"3.05","0.33","4.67","2.03","2.97","0.32","1400000US06037224020","Census Tract 2240.20, Los Angeles County, California"
"3.29","0.45","3.07","1.11","3.31","0.49","1400000US06037224200","Census Tract 2242, Los Angeles County, California"
"3.50","0.52","2.65","1.02","3.63","0.54","1400000US06037224310","Census Tract 2243.10, Los Angeles County, California"
"2.53","0.31","2.80","1.75","2.52","0.31","1400000US06037224320","Census Tract 2243.20, Los Angeles County, California"
"2.58","0.42","2.56","0.93","2.58","0.49","1400000US06037224410","Census Tract 2244.10, Los Angeles County, California"
"2.72","0.34","3.72","1.54","2.65","0.34","1400000US06037224420","Census Tract 2244.20, Los Angeles County, California"
"3.91","0.29","4.32","1.06","3.83","0.31","1400000US06037224600","Census Tract 2246, Los Angeles County, California"
"2.97","0.34","2.18","1.58","3.00","0.36","1400000US06037224701","Census Tract 2247.01, Los Angeles County, California"
"2.35","0.25","-","**","2.35","0.25","1400000US06037224702","Census Tract 2247.02, Los Angeles County, California"
"3.91","0.40","3.38","2.40","3.99","0.44","1400000US06037226001","Census Tract 2260.01, Los Angeles County, California"
"1.77","0.28","2.06","0.70","1.74","0.33","1400000US06037226002","Census Tract 2260.02, Los Angeles County, California"
"4.16","0.36","3.83","0.73","4.22","0.42","1400000US06037226410","Census Tract 2264.10, Los Angeles County, California"
"4.05","0.47","4.97","1.00","3.82","0.55","1400000US06037226420","Census Tract 2264.20, Los Angeles County, California"
"4.85","0.70","5.25","1.05","4.62","0.92","1400000US06037226701","Census Tract 2267.01, Los Angeles County, California"
"5.55","0.84","4.96","1.05","5.82","1.09","1400000US06037226702","Census Tract 2267.02, Los Angeles County, California"
"4.67","0.46","4.96","1.51","4.61","0.46","1400000US06037227010","Census Tract 2270.10, Los Angeles County, California"
"4.48","0.48","4.18","0.66","4.60","0.61","1400000US06037227020","Census Tract 2270.20, Los Angeles County, California"
"4.64","0.80","4.03","1.40","5.12","0.56","1400000US06037228100","Census Tract 2281, Los Angeles County, California"
"4.18","0.44","5.41","0.54","3.65","0.56","1400000US06037228210","Census Tract 2282.10, Los Angeles County, California"
"4.63","0.43","5.79","1.01","4.04","0.44","1400000US06037228220","Census Tract 2282.20, Los Angeles County, California"
"4.41","0.36","5.77","0.92","3.91","0.39","1400000US06037228310","Census Tract 2283.10, Los Angeles County, California"
"4.56","0.47","4.61","0.89","4.54","0.58","1400000US06037228320","Census Tract 2283.20, Los Angeles County, California"
"4.77","0.44","5.90","1.43","4.47","0.31","1400000US06037228410","Census Tract 2284.10, Los Angeles County, California"
"4.83","0.60","5.94","1.31","4.44","0.61","1400000US06037228420","Census Tract 2284.20, Los Angeles County, California"
"4.46","0.54","4.38","0.70","4.48","0.64","1400000US06037228500","Census Tract 2285, Los Angeles County, California"
"4.49","0.37","5.03","0.85","4.29","0.44","1400000US06037228600","Census Tract 2286, Los Angeles County, California"
"3.91","0.41","3.56","0.78","4.02","0.44","1400000US06037228710","Census Tract 2287.10, Los Angeles County, California"
"4.57","0.38","4.97","0.57","4.40","0.52","1400000US06037228720","Census Tract 2287.20, Los Angeles County, California"
