,OBJECTID,name,geometry,GEOID,Typology,Total_hhsize_2010,owner_occupied_hh_2010,renter_occupied_hh_2010,Total_hhsize,owner_occupied_hh,renter_occupied_hh,Total_hh_percent_change,owner_occupied_percent_change,renter_occupied_percent_change,median_gross_rent,median_gross_rent_2010,rent_percent_change,median_gross_rent_2010_inflation,rent_percent_change_inflation,median_income_nonfamily,median_income_family,median_income_nonfamily_2010,median_income_family_2010,income_family_percent_change,income_nonfamily_percent_change,median_income_family_2010_inflation,median_income_nonfamily_2010_inflation,median_income_family_percent_change_inflation,median_income_nonfamily_percent_change_inflation,total_race,nonhispanic_white,percent_white,total_race_2010,nonhispanic_white_2010,percent_white_2010,white_pop_percent_change,twentyfive_over_with_bachelorsplus,total_pop_25_over,percent_with_bachelorsplus,percent_with_bachelorsplus_2010,total_pop_25_over_2010,bachelorsplus_percent_change
0,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037210010.0,Advanced Gentrification,2.99,3.2,2.97,2.72,2.77,2.72,-0.0903010033444816,-0.13437500000000005,-0.08417508417508417,906.0,596.0,0.5201342281879194,808.9052392037665,0.12003230550442126,25346.0,27219.0,14800.0,25536.0,0.06590695488721804,0.7125675675675676,31977.10196779964,18533.09481216458,-0.14879716031149298,0.3676075289575288,3190.0,130.0,0.04075235109717868,3520.0,87.0,0.02471590909090909,0.6488307570352754,406.0,2254.0,0.18012422360248448,0.094,1981.0,0.9162151447072817
1,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037209300.0,Early/Ongoing Gentrification,2.73,4.47,2.68,2.35,2.3,2.35,-0.13919413919413914,-0.4854586129753915,-0.12313432835820898,1051.0,827.0,0.2708585247883918,1122.4238805730115,-0.06363360741803596,24526.0,34388.0,24286.0,24982.0,0.37651108798334804,0.009882236679568475,31283.363148479428,30411.80679785331,0.09924242597527362,-0.1935368995658875,4712.0,582.0,0.1235144312393888,5021.0,710.0,0.14140609440350527,-0.12652681795356172,692.0,3387.0,0.20431059935045764,0.20199999999999999,2588.0,0.011438610645829997
2,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037211122.0,Early/Ongoing Gentrification,2.55,6.6,2.53,2.56,3.75,2.56,0.003921568627451071,-0.43181818181818177,0.011857707509881523,1587.0,1099.0,0.4440400363967243,1491.5886877264084,0.0639662348331595,53219.0,37639.0,40036.0,31622.0,0.19027891973942193,0.3292786492157059,39598.21109123435,50134.5259391771,-0.049477262665233106,0.061523949873685084,2877.0,551.0,0.19151894334376085,3075.0,310.0,0.1008130081300813,0.8997443573614987,800.0,2178.0,0.3673094582185491,0.33,1981.0,0.11305896429863359
3,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037192700.0,Early/Ongoing Gentrification,2.8,2.6,2.83,2.97,3.17,2.94,0.06071428571428585,0.21923076923076917,0.03886925795052999,1431.0,906.0,0.5794701986754967,1229.6445414741818,0.16375094731394454,48950.0,56129.0,20577.0,40548.0,0.38426062937752786,1.3788696117023862,50775.67084078712,25767.26296958855,0.10543098831719727,0.8996973042023341,3550.0,545.0,0.15352112676056337,3513.0,349.0,0.09934528892684315,0.5453287057589088,639.0,2665.0,0.23977485928705441,0.152,2257.0,0.5774661795200948
4,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037208302.0,At Risk of Gentrification,2.9,4.32,2.77,2.75,2.14,2.85,-0.051724137931034454,-0.5046296296296297,0.028880866425992805,971.0,713.0,0.36185133239831696,967.7003952219554,0.003409737966767863,50363.0,44358.0,11818.0,26368.0,0.6822663834951457,3.2615501776950415,33018.96243291592,14798.926654740608,0.3434098691054092,2.403152213330755,4560.0,374.0,0.08201754385964913,4360.0,181.0,0.04151376146788991,0.9756712222545314,790.0,3503.0,0.22552098201541534,0.13,2523.0,0.7347767847339641
5,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037208402.0,Ongoing Displacement,3.66,3.01,3.72,3.56,5.28,3.16,-0.027322404371584723,0.754152823920266,-0.15053763440860216,1264.0,961.0,0.3152965660770031,1304.291837038288,-0.030891734421784254,38419.0,58971.0,38661.0,36797.0,0.6026034731092209,-0.006259538035746618,46078.53309481216,48412.70125223613,0.2797933449543636,-0.20642725965997474,2590.0,253.0,0.09768339768339768,2775.0,76.0,0.02738738738738739,2.5667293233082704,538.0,1894.0,0.2840549102428722,0.22699999999999998,1598.0,0.2513432169289526
6,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037195710.0,Early/Ongoing Gentrification,3.15,3.31,3.12,2.26,2.98,2.17,-0.2825396825396826,-0.09969788519637464,-0.3044871794871795,1493.0,858.0,0.7400932400932401,1164.497810800053,0.2820977301573919,61103.0,39216.0,22019.0,31581.0,0.24175928564643298,1.7750124892138608,39546.86940966011,27572.98747763864,-0.00836651331949145,1.2160456878150687,3939.0,880.0,0.2234069560802234,4328.0,553.0,0.12777264325323476,0.7484725242589635,1226.0,3414.0,0.3591095489162273,0.242,2990.0,0.48392375585217906
7,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037195802.0,Advanced Gentrification,2.65,3.03,2.54,2.82,3.66,2.58,0.06415094339622639,0.20792079207920805,0.015748031496063006,1564.0,958.0,0.6325678496868476,1300.2201663711548,0.20287320597790803,41397.0,64946.0,44643.0,34250.0,0.8962335766423357,-0.07271016732746455,42889.08765652952,55903.57781753131,0.5142779562043795,-0.25949283362293246,2744.0,485.0,0.17674927113702624,2881.0,179.0,0.06213120444290177,1.8447745818199586,695.0,2264.0,0.30697879858657245,0.195,1443.0,0.5742502491619099
8,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037213402.0,Early/Ongoing Gentrification,3.13,4.42,3.04,2.87,3.32,2.83,-0.08306709265175713,-0.24886877828054302,-0.06907894736842105,1289.0,904.0,0.4258849557522124,1226.9300943627597,0.050589602392529125,36371.0,43689.0,28632.0,40375.0,0.08208049535603715,0.2702919810002794,50559.03398926655,35854.02504472272,-0.1358814329942504,0.014418881970223027,5119.0,254.0,0.04961906622387185,4645.0,188.0,0.040473627556512376,0.2259604394142806,770.0,3371.0,0.22841886680510234,0.149,3222.0,0.5330125288933044
9,107,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037213401.0,Low-Income/Susceptible to Displacement,3.14,2.78,3.15,2.9,2.5,2.9,-0.07643312101910835,-0.1007194244604316,-0.07936507936507936,1227.0,875.0,0.4022857142857143,1187.5706112471403,0.03320172154770024,38542.0,33438.0,30284.0,35696.0,-0.06325638727028239,0.2726852463346982,44699.82110912344,37922.71914132379,-0.25194331497726846,0.01633007528728051,4806.0,151.0,0.03141905950894715,4951.0,80.0,0.016158351848111492,0.9444470453599667,543.0,3186.0,0.1704331450094162,0.201,3525.0,-0.1520739054257901
