,name,geometry,GEOID,Typology,family_size_percent_change,nonfamily_size_percent_change,rent_percent_change,rent_percent_change_inflation,income_family_percent_change,income_nonfamily_percent_change,median_income_family_percent_change_inflation,median_income_nonfamily_percent_change_inflation,white_pop_percent_change,bachelorsplus_percent_change
0,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037210010.0,Advanced Gentrification,-0.07174898772712808,1.8917188489411103,0.5201342281879194,0.12003230550442126,0.06590695488721804,0.7125675675675676,-0.14879716031149298,0.3676075289575288,0.6488307570352754,0.9162151447072817
1,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037209300.0,Early/Ongoing Gentrification,-0.11939437540013052,0.402516592920354,0.2708585247883918,-0.06363360741803596,0.37651108798334804,0.009882236679568475,0.09924242597527362,-0.1935368995658875,-0.12652681795356172,0.011438610645829997
2,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037211122.0,Early/Ongoing Gentrification,-0.02449391690645647,1.1930232558139535,0.4440400363967243,0.0639662348331595,0.19027891973942193,0.3292786492157059,-0.049477262665233106,0.061523949873685084,0.8997443573614987,0.11305896429863359
3,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037192700.0,Early/Ongoing Gentrification,0.05983558233984033,0.6777285021899414,0.5794701986754967,0.16375094731394454,0.38426062937752786,1.3788696117023862,0.10543098831719727,0.8996973042023341,0.5453287057589088,0.5774661795200948
4,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037208302.0,At Risk of Gentrification,0.08503824385213218,1.574676828498042,0.36185133239831696,0.003409737966767863,0.6822663834951457,3.2615501776950415,0.3434098691054092,2.403152213330755,0.9756712222545314,0.7347767847339641
5,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037208402.0,Ongoing Displacement,0.04776608602667378,2.6013914020091087,0.3152965660770031,-0.030891734421784254,0.6026034731092209,-0.006259538035746618,0.2797933449543636,-0.20642725965997474,2.5667293233082704,0.2513432169289526
6,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037195710.0,Early/Ongoing Gentrification,-0.09179392922639161,0.5379149894134284,0.7400932400932401,0.2820977301573919,0.24175928564643298,1.7750124892138608,-0.00836651331949145,1.2160456878150687,0.7484725242589635,0.48392375585217906
7,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037195802.0,Advanced Gentrification,-0.021207733583169977,1.8128403191085227,0.6325678496868476,0.20287320597790803,0.8962335766423357,-0.07271016732746455,0.5142779562043795,-0.25949283362293246,1.8447745818199586,0.5742502491619099
8,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037213402.0,Early/Ongoing Gentrification,-0.007076113580694963,1.0145285748734028,0.4258849557522124,0.050589602392529125,0.08208049535603715,0.2702919810002794,-0.1358814329942504,0.014418881970223027,0.2259604394142806,0.5330125288933044
9,Westlake,"POLYGON ((-118.259080190068 34.0538938556827, -118.259835189599 34.0530918549127, -118.260033190456 34.0531808551416, -118.259672189398 34.0528798554377, -118.260104190442 34.0524118554893, -118.260157118554 34.0523767098124, -118.261491190018 34.051490855213, -118.261021189998 34.0512078547881, -118.266552190339 34.0478638538027, -118.266651590411 34.0479088451961, -118.266742191145 34.0479498540522, -118.268835191148 34.0467728535643, -118.281016193836 34.0521468542052, -118.280937193603 34.0522668541701, -118.282949194056 34.0533298543156, -118.283577193734 34.0523668534461, -118.289077194701 34.0524098531316, -118.289097195189 34.0597858543848, -118.287830195485 34.0597928545133, -118.287851194912 34.0618188547564, -118.287035195384 34.0618238547913, -118.287094195342 34.0677188554767, -118.286797195427 34.0677208556489, -118.286819196826 34.0764788560034, -118.286223155027 34.0766967843813, -118.286179196145 34.0767128564652, -118.284411196025 34.076721856134, -118.284423196435 34.0779008567808, -118.284422678147 34.0779007371958, -118.279922136874 34.0768607642034, -118.279680195528 34.0768048562559, -118.274185366127 34.0752964503459, -118.274183194131 34.0752958566589, -118.273003969679 34.0747717057988, -118.269094193515 34.0730338571802, -118.269175193109 34.0728888565041, -118.263802191551 34.0705608570818, -118.261226191217 34.0696218564787, -118.259891191392 34.0643598567174, -118.259659190694 34.0620088559228, -118.256795190476 34.0589788557812, -118.255268189459 34.0579438561278, -118.259080190068 34.0538938556827))",6037213401.0,Low-Income/Susceptible to Displacement,-0.0788687472762545,0.4207447362935168,0.4022857142857143,0.03320172154770024,-0.06325638727028239,0.2726852463346982,-0.25194331497726846,0.01633007528728051,0.9444470453599667,-0.1520739054257901
