"B25064_001E","B25064_001M","GEO_ID","NAME"
"Estimate!!Median gross rent","Margin of Error!!Median gross rent","id","Geographic Area Name"
"3335","459","1400000US06037111204","Census Tract 1112.04, Los Angeles County, California"
"2132","335","1400000US06037111205","Census Tract 1112.05, Los Angeles County, California"
"3,500+","***","1400000US06037111206","Census Tract 1112.06, Los Angeles County, California"
"1754","101","1400000US06037111302","Census Tract 1113.02, Los Angeles County, California"
"1963","302","1400000US06037111303","Census Tract 1113.03, Los Angeles County, California"
"1386","181","1400000US06037111304","Census Tract 1113.04, Los Angeles County, California"
"2345","172","1400000US06037111401","Census Tract 1114.01, Los Angeles County, California"
"1402","212","1400000US06037111402","Census Tract 1114.02, Los Angeles County, California"
"3109","374","1400000US06037113101","Census Tract 1131.01, Los Angeles County, California"
"3344","617","1400000US06037113102","Census Tract 1131.02, Los Angeles County, California"
"2208","221","1400000US06037113211","Census Tract 1132.11, Los Angeles County, California"
"2120","240","1400000US06037113212","Census Tract 1132.12, Los Angeles County, California"
"1852","120","1400000US06037113213","Census Tract 1132.13, Los Angeles County, California"
"1950","1498","1400000US06037113231","Census Tract 1132.31, Los Angeles County, California"
"1916","284","1400000US06037113232","Census Tract 1132.32, Los Angeles County, California"
"1404","131","1400000US06037113234","Census Tract 1132.34, Los Angeles County, California"
"2258","137","1400000US06037113235","Census Tract 1132.35, Los Angeles County, California"
"2005","262","1400000US06037113237","Census Tract 1132.37, Los Angeles County, California"
"1494","145","1400000US06037113238","Census Tract 1132.38, Los Angeles County, California"
"1487","318","1400000US06037113239","Census Tract 1132.39, Los Angeles County, California"
"2500","168","1400000US06037113301","Census Tract 1133.01, Los Angeles County, California"
"2379","640","1400000US06037113303","Census Tract 1133.03, Los Angeles County, California"
"1914","201","1400000US06037113322","Census Tract 1133.22, Los Angeles County, California"
"1805","88","1400000US06037113323","Census Tract 1133.23, Los Angeles County, California"
"1672","108","1400000US06037113324","Census Tract 1133.24, Los Angeles County, California"
"1869","732","1400000US06037113423","Census Tract 1134.23, Los Angeles County, California"
"1949","712","1400000US06037113424","Census Tract 1134.24, Los Angeles County, California"
"1801","68","1400000US06037113425","Census Tract 1134.25, Los Angeles County, California"
"1414","1081","1400000US06037113426","Census Tract 1134.26, Los Angeles County, California"
"1458","417","1400000US06037113427","Census Tract 1134.27, Los Angeles County, California"
"2736","617","1400000US06037113428","Census Tract 1134.28, Los Angeles County, California"
"-","**","1400000US06037115101","Census Tract 1151.01, Los Angeles County, California"
"1656","210","1400000US06037115103","Census Tract 1151.03, Los Angeles County, California"
"1603","153","1400000US06037115104","Census Tract 1151.04, Los Angeles County, California"
"1990","295","1400000US06037115202","Census Tract 1152.02, Los Angeles County, California"
"1725","273","1400000US06037115203","Census Tract 1152.03, Los Angeles County, California"
"1767","93","1400000US06037115204","Census Tract 1152.04, Los Angeles County, California"
"2077","215","1400000US06037115301","Census Tract 1153.01, Los Angeles County, California"
"1544","114","1400000US06037115302","Census Tract 1153.02, Los Angeles County, California"
"1414","66","1400000US06037115401","Census Tract 1154.01, Los Angeles County, California"
"1372","43","1400000US06037115403","Census Tract 1154.03, Los Angeles County, California"
"1699","264","1400000US06037115404","Census Tract 1154.04, Los Angeles County, California"
"1462","235","1400000US06037117101","Census Tract 1171.01, Los Angeles County, California"
"1895","328","1400000US06037117102","Census Tract 1171.02, Los Angeles County, California"
"1377","105","1400000US06037117201","Census Tract 1172.01, Los Angeles County, California"
"586","431","1400000US06037117202","Census Tract 1172.02, Los Angeles County, California"
"3133","264","1400000US06037117301","Census Tract 1173.01, Los Angeles County, California"
"1733","228","1400000US06037117302","Census Tract 1173.02, Los Angeles County, California"
"1908","1633","1400000US06037117303","Census Tract 1173.03, Los Angeles County, California"
"2772","497","1400000US06037117404","Census Tract 1174.04, Los Angeles County, California"
"1397","111","1400000US06037117405","Census Tract 1174.05, Los Angeles County, California"
"1321","58","1400000US06037117407","Census Tract 1174.07, Los Angeles County, California"
"1262","109","1400000US06037117408","Census Tract 1174.08, Los Angeles County, California"
"1598","159","1400000US06037117510","Census Tract 1175.10, Los Angeles County, California"
"1390","68","1400000US06037117520","Census Tract 1175.20, Los Angeles County, California"
"1320","63","1400000US06037117530","Census Tract 1175.30, Los Angeles County, California"
"2289","288","1400000US06037119001","Census Tract 1190.01, Los Angeles County, California"
"2000","710","1400000US06037119003","Census Tract 1190.03, Los Angeles County, California"
"1567","456","1400000US06037119004","Census Tract 1190.04, Los Angeles County, California"
"2164","116","1400000US06037119201","Census Tract 1192.01, Los Angeles County, California"
"1306","410","1400000US06037119202","Census Tract 1192.02, Los Angeles County, California"
"1505","629","1400000US06037119310","Census Tract 1193.10, Los Angeles County, California"
"1702","167","1400000US06037119320","Census Tract 1193.20, Los Angeles County, California"
"1293","66","1400000US06037119340","Census Tract 1193.40, Los Angeles County, California"
"1424","162","1400000US06037119341","Census Tract 1193.41, Los Angeles County, California"
"1676","83","1400000US06037119342","Census Tract 1193.42, Los Angeles County, California"
"2051","457","1400000US06037119400","Census Tract 1194, Los Angeles County, California"
"1706","166","1400000US06037119700","Census Tract 1197, Los Angeles County, California"
"2350","1104","1400000US06037119801","Census Tract 1198.01, Los Angeles County, California"
"1969","570","1400000US06037119802","Census Tract 1198.02, Los Angeles County, California"
"1741","463","1400000US06037119900","Census Tract 1199, Los Angeles County, California"
"1405","194","1400000US06037120010","Census Tract 1200.10, Los Angeles County, California"
"1209","168","1400000US06037120020","Census Tract 1200.20, Los Angeles County, California"
"1131","79","1400000US06037120030","Census Tract 1200.30, Los Angeles County, California"
"1316","71","1400000US06037120103","Census Tract 1201.03, Los Angeles County, California"
"1477","99","1400000US06037120104","Census Tract 1201.04, Los Angeles County, California"
"1056","150","1400000US06037120105","Census Tract 1201.05, Los Angeles County, California"
"1274","85","1400000US06037120106","Census Tract 1201.06, Los Angeles County, California"
"1330","105","1400000US06037120107","Census Tract 1201.07, Los Angeles County, California"
"1331","189","1400000US06037120108","Census Tract 1201.08, Los Angeles County, California"
"1242","265","1400000US06037120300","Census Tract 1203, Los Angeles County, California"
"1438","146","1400000US06037120400","Census Tract 1204, Los Angeles County, California"
"1952","502","1400000US06037121010","Census Tract 1210.10, Los Angeles County, California"
"1430","460","1400000US06037121020","Census Tract 1210.20, Los Angeles County, California"
"1346","62","1400000US06037121101","Census Tract 1211.01, Los Angeles County, California"
"2130","303","1400000US06037121102","Census Tract 1211.02, Los Angeles County, California"
"1181","448","1400000US06037121210","Census Tract 1212.10, Los Angeles County, California"
"1656","645","1400000US06037121221","Census Tract 1212.21, Los Angeles County, California"
"1579","162","1400000US06037121222","Census Tract 1212.22, Los Angeles County, California"
"2231","59","1400000US06037121600","Census Tract 1216, Los Angeles County, California"
"1377","180","1400000US06037121801","Census Tract 1218.01, Los Angeles County, California"
"1250","793","1400000US06037121802","Census Tract 1218.02, Los Angeles County, California"
"1416","171","1400000US06037121900","Census Tract 1219, Los Angeles County, California"
"1794","192","1400000US06037122000","Census Tract 1220, Los Angeles County, California"
"1559","193","1400000US06037122120","Census Tract 1221.20, Los Angeles County, California"
"1273","109","1400000US06037122121","Census Tract 1221.21, Los Angeles County, California"
"1448","112","1400000US06037122122","Census Tract 1221.22, Los Angeles County, California"
"1538","132","1400000US06037122200","Census Tract 1222, Los Angeles County, California"
"1260","104","1400000US06037122410","Census Tract 1224.10, Los Angeles County, California"
"1402","70","1400000US06037122420","Census Tract 1224.20, Los Angeles County, California"
