,name,geometry,GEOID,Typology,Typology_numeric,Typology_numeric2,Total_hh_percent_change,rent_percent_change,rent_percent_change_inflation,income_family_percent_change,income_nonfamily_percent_change,median_income_family_percent_change_inflation,median_income_nonfamily_percent_change_inflation,white_pop_percent_change,bachelorsplus_percent_change,Westlake,Pico-Union,Koreatown,Echo Park,Downtown,Silver Lake
0,Westlake,"POLYGON ((-118.27258619174823 34.04307985308065, -118.27242619141401 34.04333085309996, -118.27228519089788 34.04352885327699, -118.27216519097473 34.043698853109966, -118.27197819130718 34.04393685382205, -118.27177219155331 34.044180853419995, -118.27170519072926 34.04425385325428, -118.27146919130622 34.04450885359376, -118.2712491910245 34.044726853890104, -118.27102019096341 34.04493785376872, -118.270996191329 34.04495785398951, -118.27078219111525 34.0451418540795, -118.27049419134987 34.04537185337646, -118.27041519111725 34.04542885377065, -118.2687941913477 34.04649385358441, -118.2685481910419 34.04664385390825, -118.26655219033871 34.047863853802596, -118.26674219114469 34.04794985405212, -118.26728619045164 34.048194854610074, -118.26763319133319 34.04835185386965, -118.26830819091259 34.04865585399204, -118.26897019133158 34.04895385438315, -118.26969819103131 34.04928185456263, -118.27007119104391 34.04944985416196, -118.27052019192593 34.04965185399596, -118.27135019207921 34.05002585431498, -118.27199519150079 34.050315854572496, -118.27222119206044 34.05041785386164, -118.27315719213834 34.05083885383863, -118.27419019228792 34.04919885362292, -118.27494319189235 34.04804385406685, -118.27507619216365 34.04770385356947, -118.27554819176966 34.046963853298024, -118.27602819247821 34.04621185336354, -118.27650819214585 34.04545985333499, -118.27667919214491 34.045191853150776, -118.27688719266526 34.04462885294152, -118.27586619241168 34.044167853660944, -118.27523719154162 34.043883853691966, -118.27488519139288 34.043725853653754, -118.27398819152559 34.04331985338129, -118.2731901909525 34.04295985300507, -118.27295219145472 34.04285285309683, -118.27276119079517 34.042765853393874, -118.27258619174823 34.04307985308065))",6037210010.0,Advanced Gentrification,8.0,4.0,-0.0903010033444816,0.5201342281879194,0.1200323055044212,0.065906954887218,0.7125675675675676,-0.1487971603114929,0.3676075289575288,0.6488307570352754,0.9162151447072816,1,0,0,0,0,0
1,Westlake,"POLYGON ((-118.26652319073979 34.04788085395987, -118.26642319027965 34.047942853798276, -118.26408019044636 34.0493638546042, -118.26265018981232 34.05023085481998, -118.26260819059515 34.05025785503714, -118.2627991904918 34.05033185455308, -118.26294619025471 34.05038985456104, -118.26417219037185 34.05085885501817, -118.2657901906056 34.051475854267075, -118.26583519052186 34.05149585483841, -118.2663201907954 34.05171585502581, -118.2672951910188 34.05215585474236, -118.26764219101868 34.052312854946265, -118.26777619159252 34.052373854757974, -118.26854519170104 34.052720854678626, -118.26937419205177 34.05309485467846, -118.27115319171132 34.05389885493078, -118.27141219230275 34.053502854547396, -118.27167519147426 34.05310185464295, -118.27218019186265 34.052331854302096, -118.27315719213834 34.05083885383863, -118.27222119206044 34.05041785386164, -118.27199519150079 34.050315854572496, -118.27135019207921 34.05002585431498, -118.27052019192593 34.04965185399596, -118.27007119104391 34.04944985416196, -118.26969819103131 34.04928185456263, -118.26897019133158 34.04895385438315, -118.26830819091259 34.04865585399204, -118.26763319133319 34.04835185386965, -118.26728619045164 34.048194854610074, -118.26674219114469 34.04794985405212, -118.26655219033871 34.047863853802596, -118.26652319073979 34.04788085395987))",6037209300.0,Early/Ongoing Gentrification,5.0,3.0,-0.1391941391941391,0.2708585247883918,-0.0636336074180359,0.376511087983348,0.0098822366795684,0.0992424259752736,-0.1935368995658875,-0.1265268179535617,0.0114386106458299,1,0,0,0,0,0
2,Westlake,"POLYGON ((-118.29050819706673 34.076334855881115, -118.2916971971547 34.07633485565431, -118.29169119689938 34.07449185550463, -118.29168619736616 34.07273785592137, -118.29167819657664 34.070386854869135, -118.29167419713492 34.069056855312134, -118.28951519646938 34.069066855587, -118.28937719653781 34.06906085482281, -118.28789719624776 34.06897885505069, -118.28750919637186 34.068980855657415, -118.28733919572177 34.0689818552006, -118.28681119586011 34.06898685506211, -118.28681119628575 34.0690498549982, -118.28681319599328 34.06930385500641, -118.28682019537156 34.07012185582478, -118.28679619582721 34.07044085581295, -118.2867671956079 34.07082185519409, -118.28679319610049 34.073499855955475, -118.28680419676057 34.07450685628923, -118.28680719647002 34.0748028563542, -118.28681719586355 34.07580685611599, -118.28682119615686 34.076335856563546, -118.28797519645205 34.07633585616702, -118.28916419646993 34.076335856531635, -118.28944519695848 34.0763348562929, -118.29050819706673 34.076334855881115))",6037211122.0,Early/Ongoing Gentrification,5.0,3.0,0.003921568627451,0.4440400363967243,0.0639662348331595,0.1902789197394219,0.3292786492157059,-0.0494772626652331,0.061523949873685,0.8997443573614987,0.1130589642986335,1,0,0,0,0,0
3,Westlake,"POLYGON ((-118.28441519598718 34.0771548561143, -118.28442019567512 34.07765785680411, -118.28442119562564 34.077736856597824, -118.28442219602962 34.07781885668914, -118.28442319643545 34.0779008567807, -118.28443119583187 34.07873985680901, -118.28443219591838 34.07886285677718, -118.28443219656938 34.07892485693531, -118.28443819576934 34.079415856817455, -118.28443919622798 34.07959885644975, -118.28444019574151 34.07964585637078, -118.28444919669212 34.08067985638814, -118.28446019615195 34.08178085721468, -118.28446619657066 34.08244285705999, -118.28447119704138 34.08309785707665, -118.28447619636425 34.083593857487436, -118.28522019665344 34.083593856723006, -118.28565219658782 34.083593857463285, -118.28684119677338 34.083593856595975, -118.28802819684769 34.08359385690864, -118.2892191972713 34.0835938567166, -118.29052719707896 34.083593856469854, -118.29172219766212 34.083592856440276, -118.29171619780357 34.081778856245236, -118.2917131976124 34.08101185604497, -118.29171219718411 34.08056285662508, -118.29171119708042 34.08037085610914, -118.29171119760815 34.08021785616804, -118.29170919764621 34.07956085585705, -118.29170819742204 34.07934085646298, -118.29170719742037 34.07905785619654, -118.29170219719636 34.07773285576987, -118.29170219685136 34.077694856190284, -118.2916971971547 34.07633485565431, -118.29050819706673 34.076334855881115, -118.28944519695848 34.0763348562929, -118.28916419646993 34.076335856531635, -118.28797519645205 34.07633585616702, -118.28682119615686 34.076335856563546, -118.28681919682663 34.07647885600329, -118.28657519609317 34.0765998563383, -118.28650819615562 34.07662885617657, -118.28640319685437 34.07666685591777, -118.28629019594642 34.07669585650705, -118.28617919614544 34.07671285646519, -118.28608519577763 34.07672085663808, -118.28560119598866 34.07672185677279, -118.28441119602466 34.076721856133936, -118.28441519598718 34.0771548561143))",6037192700.0,Early/Ongoing Gentrification,5.0,3.0,0.0607142857142858,0.5794701986754967,0.1637509473139445,0.3842606293775278,1.3788696117023862,0.1054309883171972,0.8996973042023341,0.5453287057589088,0.5774661795200948,1,0,0,0,0,0
4,Westlake,"POLYGON ((-118.2596591906942 34.06200885592279, -118.25973619123786 34.062618856303104, -118.25978019074165 34.06296685623798, -118.25989119139253 34.06435985671733, -118.26026719155888 34.06562385615605, -118.26066219091612 34.06726885641051, -118.26087219100934 34.0681428565697, -118.26237919215009 34.06844885629689, -118.262692191663 34.06851185652747, -118.26278419190125 34.06854185679659, -118.26297819210473 34.06860685688232, -118.2632591918426 34.06869885634714, -118.2641311916199 34.06731385607628, -118.26472419142168 34.06637185615511, -118.26520819238674 34.06560285581292, -118.26539719172504 34.06530185579733, -118.2654991917686 34.065139856391404, -118.26580719161046 34.06465085656866, -118.26561819152585 34.064565855902686, -118.26376419174035 34.0637298561716, -118.26418919135799 34.06340385597198, -118.26427319103101 34.06333885573681, -118.26513419185474 34.06267885566621, -118.26518519188156 34.062635856070536, -118.26522619166478 34.0625898555808, -118.2652641917133 34.062532855776105, -118.26529019133523 34.062479856267444, -118.26530719150091 34.0624258559892, -118.26542619114899 34.06193285560017, -118.26543719172803 34.06184285593626, -118.26543119161457 34.061745855383585, -118.26540619155631 34.061651855409174, -118.26536619187473 34.061561856025044, -118.26526719140497 34.061320855396616, -118.26519719195704 34.06115385538068, -118.26516619185463 34.06109385534644, -118.2650921916959 34.06097685574452, -118.26498719093651 34.06085085562021, -118.26484919099092 34.06069285581517, -118.26477119100005 34.0605798558686, -118.26439819127759 34.05942585533259, -118.26347419148313 34.05905385566221, -118.26333419075357 34.05899685520069, -118.26160719021507 34.05830385592577, -118.2614771905005 34.058528855687975, -118.26118519031228 34.059039855758414, -118.26098219101789 34.05935585557711, -118.26070419094883 34.059791855649024, -118.26002019097335 34.060863856441266, -118.2597471911348 34.06128985639605, -118.25973719020165 34.06131685621145, -118.25973619059596 34.061337855913614, -118.2598011905915 34.06194385580455, -118.25943719032419 34.06177885575785, -118.2596591906942 34.06200885592279))",6037208302.0,At Risk of Gentrification,7.0,4.0,-0.0517241379310344,0.3618513323983169,0.0034097379667678,0.6822663834951457,3.261550177695041,0.3434098691054092,2.403152213330755,0.9756712222545314,0.7347767847339641,1,0,0,0,0,0
5,Westlake,"POLYGON ((-118.26110019128812 34.069094856732214, -118.26122619121664 34.06962185647866, -118.26136019166137 34.069668857320394, -118.26269819137352 34.07011085678099, -118.26303619175737 34.07023785645397, -118.26344619149255 34.07039885718876, -118.26383219205128 34.07056485656172, -118.26419419255915 34.07073285721344, -118.26425919251759 34.07076185702334, -118.26438919265975 34.070818856739905, -118.26459419198176 34.07090985648011, -118.26519919266232 34.07117785674629, -118.26695319297848 34.071955856901006, -118.2670181927418 34.071852856621476, -118.26714819270619 34.071649857154554, -118.26715619290977 34.07163685650803, -118.26802819276976 34.070268856878776, -118.26866419269648 34.06927185679464, -118.2700291924814 34.06712885632862, -118.27008919271017 34.06703485654873, -118.27031419260629 34.06668385590734, -118.26974719303601 34.066427856269534, -118.26939419310055 34.06626885582559, -118.26887219254255 34.06603085627176, -118.2683721925161 34.065805856153624, -118.26794419240188 34.06561285639259, -118.26782219237518 34.06555785590737, -118.2670131922945 34.06519385624569, -118.26660619159576 34.065009855807205, -118.26580719161046 34.06465085656866, -118.2654991917686 34.065139856391404, -118.26539719172504 34.06530185579733, -118.26520819238674 34.06560285581292, -118.26472419142168 34.06637185615511, -118.2641311916199 34.06731385607628, -118.2632591918426 34.06869885634714, -118.26297819210473 34.06860685688232, -118.26278419190125 34.06854185679659, -118.262692191663 34.06851185652747, -118.26237919215009 34.06844885629689, -118.26087219100934 34.0681428565697, -118.26110019128812 34.069094856732214))",6037208402.0,Ongoing Displacement,3.0,2.0,-0.0273224043715847,0.3152965660770031,-0.0308917344217842,0.6026034731092209,-0.0062595380357466,0.2797933449543636,-0.2064272596599747,2.5667293233082704,0.2513432169289526,1,0,0,0,0,0
6,Westlake,"POLYGON ((-118.26496919322499 34.07740485730631, -118.26513019258752 34.07741885733575, -118.26526819322748 34.077443857658174, -118.26532719334591 34.077458857584745, -118.26544719304177 34.077496857656215, -118.26557419290934 34.077548857428006, -118.26569319316388 34.077611857118605, -118.26580519283202 34.0776848574596, -118.26590619298587 34.07776785735649, -118.2659831926187 34.07784285753786, -118.26601419266481 34.07787685725133, -118.26615119317327 34.07801385783527, -118.26627419311531 34.07811485761602, -118.26640719292139 34.078207857567186, -118.26654919269967 34.078290857560326, -118.26696719274351 34.07849885724035, -118.26799919324411 34.07901385744927, -118.26902219339227 34.079523857309816, -118.2691271938638 34.079335857828504, -118.26925019420985 34.07911585794012, -118.26982519417945 34.07816185707351, -118.27073019410875 34.07666285701183, -118.27170819370747 34.075043857141495, -118.27206919404885 34.07445285696644, -118.27208619342805 34.07442485677488, -118.27211019361496 34.074384856751855, -118.27217319333187 34.074282857080306, -118.27220419423271 34.07423185700433, -118.27234219355621 34.07400485674826, -118.27281419420544 34.073233856684496, -118.27293219383202 34.07304185690734, -118.27351819381184 34.07208085653705, -118.27295419402625 34.07189485629452, -118.271893193188 34.07154385698309, -118.27146419328776 34.07140285682012, -118.27068919367179 34.0711468563502, -118.27023619326792 34.070997856747546, -118.27008419357466 34.07094785700265, -118.26931319342093 34.07069285661398, -118.26802819276976 34.070268856878776, -118.26715619290977 34.07163685650803, -118.26714819270619 34.071649857154554, -118.2670181927418 34.071852856621476, -118.26695319297848 34.071955856901006, -118.26690819265083 34.07202685727596, -118.26686419230296 34.072095856730016, -118.26679719221805 34.07219985663566, -118.26665719222795 34.072419857243155, -118.26636819295979 34.0728718573663, -118.26587719296677 34.073676857147696, -118.26581219225884 34.073783856911675, -118.26540319273448 34.07445385749556, -118.26527419211277 34.074665857390194, -118.26494719226847 34.07520085772084, -118.26481919273675 34.0754108571417, -118.26455819247671 34.07583585740877, -118.2645151921587 34.075908857520275, -118.26421219246828 34.07640485715318, -118.26346919272797 34.07762385753501, -118.26470619248381 34.07741685720753, -118.26484719285693 34.07740485799456, -118.26496919322499 34.07740485730631))",6037195710.0,Early/Ongoing Gentrification,5.0,3.0,-0.2825396825396826,0.7400932400932401,0.2820977301573919,0.2417592856464329,1.7750124892138608,-0.0083665133194914,1.2160456878150687,0.7484725242589635,0.483923755852179,1,0,0,0,0,0
7,Westlake,"POLYGON ((-118.27682719515262 34.07734685673435, -118.27739219510356 34.077601857114075, -118.27782919491071 34.077791856778575, -118.27912719481712 34.0783568566314, -118.2801091951298 34.07878385701537, -118.28109219587844 34.07921185683491, -118.28160619527685 34.07840785635037, -118.28205519540298 34.07770285663674, -118.28224019553289 34.07757985676727, -118.28227319573236 34.07755385701141, -118.28237619540101 34.07743485658725, -118.28249519565283 34.07729685673739, -118.28406219613058 34.07765485684656, -118.28442119562564 34.077736856597824, -118.28442019567512 34.07765785680411, -118.28441519598718 34.0771548561143, -118.28441119602466 34.076721856133936, -118.28393419557743 34.076515856707196, -118.28335819630281 34.07626285641287, -118.28305619577743 34.076130856248255, -118.28270819592205 34.07596685674066, -118.28255919550585 34.0758968561268, -118.28209919537483 34.07568185660287, -118.28117819549996 34.075278856427786, -118.28025819484795 34.07487685665511, -118.27934619450005 34.07447885674082, -118.27844019520852 34.074082856467214, -118.2775321947815 34.073685856026735, -118.27662719430982 34.07329085684016, -118.27571919379612 34.07289385634687, -118.27531219405384 34.072715856799185, -118.2748621935702 34.07252385649219, -118.27388819392645 34.07220285632499, -118.27351819381184 34.07208085653705, -118.27293219383202 34.07304185690734, -118.27281419420544 34.073233856684496, -118.27234219355621 34.07400485674826, -118.27220419423271 34.07423185700433, -118.27217319333187 34.074282857080306, -118.27211019361496 34.074384856751855, -118.27208619342805 34.07442485677488, -118.27206919404885 34.07445285696644, -118.27170819370747 34.075043857141495, -118.27270419389346 34.07549085672787, -118.27273119348996 34.07550285736326, -118.27276819402465 34.07551885714266, -118.27375619364251 34.07596085724486, -118.27476819428846 34.07641785659702, -118.27555719464898 34.0767738565528, -118.27579419434576 34.07688085670752, -118.27631819454899 34.07711685674024, -118.27645219463378 34.07717785701488, -118.27682719515262 34.07734685673435))",6037195802.0,Advanced Gentrification,8.0,4.0,0.0641509433962263,0.6325678496868476,0.202873205977908,0.8962335766423357,-0.0727101673274645,0.5142779562043795,-0.2594928336229324,1.8447745818199583,0.5742502491619099,1,0,0,0,0,0
8,Westlake,"POLYGON ((-118.29090719504687 34.05240885296655, -118.29112419543662 34.05242985319275, -118.29133719542266 34.05246685313812, -118.2914201949348 34.052485853686655, -118.2916241952168 34.05254385347376, -118.29161919480687 34.05091685340676, -118.29161919494679 34.05077985313733, -118.2916141951822 34.04910885308596, -118.29160919485861 34.04726485299449, -118.29070419452947 34.04726885254322, -118.29045219446036 34.047268853109045, -118.28909319450501 34.04727285259564, -118.2885611947972 34.047273852784116, -118.28768819462421 34.0472768526268, -118.28708019400773 34.04727885313282, -118.28651619393571 34.04728085346811, -118.28534419409165 34.04728385305133, -118.2841401938426 34.047287853251255, -118.28417319412709 34.04912885379326, -118.28417519359462 34.049335853185276, -118.28418119376406 34.049894853093285, -118.28418919433774 34.050805853745494, -118.28419619339897 34.05141685344865, -118.28419919396211 34.051808853669286, -118.28420519362413 34.05242085374858, -118.2842781935546 34.05242685380902, -118.28539419407032 34.05242285395349, -118.28656619423762 34.052418853354496, -118.28773919512219 34.05241485342099, -118.2890771947015 34.052409853131536, -118.29036519484825 34.05240485366926, -118.29071819552216 34.052403852935576, -118.29090719504687 34.05240885296655))",6037213402.0,Early/Ongoing Gentrification,5.0,3.0,-0.0830670926517571,0.4258849557522124,0.0505896023925291,0.0820804953560371,0.2702919810002794,-0.1358814329942504,0.014418881970223,0.2259604394142806,0.5330125288933044,1,0,0,0,0,0
9,Westlake,"POLYGON ((-118.2842161938427 34.05346385412857, -118.28424519446645 34.054730854381056, -118.28424819416131 34.05502685422752, -118.28542019459428 34.05501985372172, -118.28659219504948 34.05501385426082, -118.28776419518121 34.05500685354512, -118.28908419506297 34.054999853295136, -118.29037119482871 34.05499285395769, -118.29163119505832 34.054985853817435, -118.29163019527712 34.05453185320829, -118.2916241952168 34.05254385347376, -118.2914201949348 34.052485853686655, -118.29133719542266 34.05246685313812, -118.29112419543662 34.05242985319275, -118.29090719504687 34.05240885296655, -118.29071819552216 34.052403852935576, -118.29036519484825 34.05240485366926, -118.2890771947015 34.052409853131536, -118.28773919512219 34.05241485342099, -118.28656619423762 34.052418853354496, -118.28539419407032 34.05242285395349, -118.2842781935546 34.05242685380902, -118.28420519362413 34.05242085374858, -118.2842161938427 34.05346385412857))",6037213401.0,Low-Income/Susceptible to Displacement,4.0,2.0,-0.0764331210191083,0.4022857142857143,0.0332017215477002,-0.0632563872702823,0.2726852463346982,-0.2519433149772684,0.0163300752872805,0.9444470453599668,-0.1520739054257901,1,0,0,0,0,0
