ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
90017,LOS ANGELES,5143027143,2021,00067,5143-027-143,"1010 WILSHIRE BLVD, NO   906  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,1020,2,2,1,20061002,14827.00,2005,174872.00,2008,189699.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,189699.00,0.00,189699.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 906 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   906,LOS ANGELES CA,90017,20215143027143,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143019186,2021,00067,5143-019-186,"1234 WILSHIRE BLVD, NO   526  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,680,1,1,1,20140605,339750.00,2014,105319.00,2014,445069.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,445069.00,0.00,445069.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 163 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   526,LOS ANGELES CA,90017,20215143019186,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143027027,2021,00067,5143-027-027,"1010 WILSHIRE BLVD, NO   111  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,1430,1,1,1,20061002,14827.00,2005,245165.00,2008,259992.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,259992.00,0.00,259992.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 111 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   111,LOS ANGELES CA,90017,20215143027027,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143019113,2021,00067,5143-019-113,"1234 WILSHIRE BLVD, NO   333  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,700,1,1,1,20201112,233166.00,2015,222063.00,2015,455229.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,455229.00,0.00,455229.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 90 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   333,LOS ANGELES CA,90017,20215143019113,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019091,2021,00067,5143-019-091,"1234 WILSHIRE BLVD, NO   311  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,1020,2,2,1,20170320,159757.00,2017,514656.00,2017,674413.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,674413.00,0.00,674413.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 68 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   311,LOS ANGELES CA,90017,20215143019091,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019214,2021,00067,5143-019-214,"1234 WILSHIRE BLVD, NO   614  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,680,1,1,1,20170901,100912.00,2018,407857.00,2018,508769.00,7000.00,0.00,0.00,0.00,0.00,0.00,Y,508769.00,7000.00,501769.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 191 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   614,LOS ANGELES CA,90017,20215143019214,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143027123,2021,00067,5143-027-123,"1010 WILSHIRE BLVD, NO   801  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,690,1,1,1,20061002,14827.00,2005,118290.00,2008,133117.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,133117.00,0.00,133117.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 801 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   801,LOS ANGELES CA,90017,20215143027123,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143027060,2021,00067,5143-027-060,"1010 WILSHIRE BLVD, NO   313  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,720,1,1,1,20061002,14827.00,2005,123436.00,2008,138263.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,138263.00,0.00,138263.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 313 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   313,LOS ANGELES CA,90017,20215143027060,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143019039,2021,00067,5143-019-039,"1234 WILSHIRE BLVD, NO   133  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,700,1,1,1,20180727,215491.00,2018,315353.00,2018,530844.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,530844.00,0.00,530844.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 16 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   133,LOS ANGELES CA,90017,20215143019039,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143027079,2021,00067,5143-027-079,"1010 WILSHIRE BLVD, NO   502  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,840,1,1,1,20061002,14827.00,2005,144010.00,2008,158837.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,158837.00,0.00,158837.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 502 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   502,LOS ANGELES CA,90017,20215143027079,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143027101,2021,00067,5143-027-101,"1010 WILSHIRE BLVD, NO   609  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,1000,1,1,1,20061002,14827.00,2005,171441.00,2008,186268.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,186268.00,0.00,186268.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 609 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   609,LOS ANGELES CA,90017,20215143027101,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143019081,2021,00067,5143-019-081,"1234 WILSHIRE BLVD, NO   301  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,830,1,1,1,20201021,206000.00,2021,310000.00,2021,516000.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,516000.00,0.00,516000.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 58 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   301,LOS ANGELES CA,90017,20215143019081,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143027018,2021,00067,5143-027-018,"1010 WILSHIRE BLVD, NO   102  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,1140,1,1,1,20061002,14827.00,2005,195445.00,2008,210272.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,210272.00,0.00,210272.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 102 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   102,LOS ANGELES CA,90017,20215143027018,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143027040,2021,00067,5143-027-040,"1010 WILSHIRE BLVD, NO   208  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,1000,1,1,1,20061002,14827.00,2005,171441.00,2008,186268.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,186268.00,0.00,186268.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 208 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   208,LOS ANGELES CA,90017,20215143027040,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143027111,2021,00067,5143-027-111,"1010 WILSHIRE BLVD, NO   704  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,1240,2,2,1,20061002,14827.00,2005,212589.00,2008,227416.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,227416.00,0.00,227416.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 704 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   704,LOS ANGELES CA,90017,20215143027111,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143019135,2021,00067,5143-019-135,"1234 WILSHIRE BLVD, NO   415  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,700,1,1,1,20070223,137383.00,2007,279728.00,2007,417111.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,417111.00,0.00,417111.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 112 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   415,LOS ANGELES CA,90017,20215143019135,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019177,2021,00067,5143-019-177,"1234 WILSHIRE BLVD, NO   517  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,960,2,2,1,20181221,202644.00,2017,461046.00,2017,663690.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,663690.00,0.00,663690.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 154 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   517,LOS ANGELES CA,90017,20215143019177,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
